167,1 PONIENTE (AVENIDA BUCARELI)
168,1 PONIENTE (AVENIDA CUAUHTEMOC)
169,1 PONIENTE (AVENIDA MEXICO-COYOACAN)
170,1 PONIENTE (AVENIDA ROSALES)
171,1 PONIENTE (CALZADA VALLEJO)
172,1 PONIENTE (GUERRERO)
173,1 PONIENTE (PROLONGACION GUERRERO)
174,1 PONIENTE 44
175,1 PRECIAT
176,1 PUEBLA
177,1 RAFAEL QUINTERO
178,1 REMEDIOS VALLE
179,1 RICARDO JAIME
180,1 ROBERTO RODRIGUEZ
181,1 RODOLFO  AGUIRRE
182,1 ROSA MARIA SIQUEIRA
183,1 ROSA ZARAGOZA
184,1 ROSARIO CASTELLANOS
185,1 ROSENDO SALAZAR
186,1 SABADINO JAIME
187,1 SAN MIGUEL
188,1 SANTA CECILIA
189,1 SANTO TOMAS
190,1 SEBASTIAN VARELA
191,1 SOLEDAD
192,1 SUR
193,1 TEPEOJUMA
194,1 TLAXCALPA
195,1 TORIBIO RODRIGUEZ
196,1 TRIUNFO DE LA REPUBLICA
197,1 VALLE DEL PARAISO
198,1 VICENTE MENDIETA
199,1 VISTA HERMOSA
200,1 Y 2 DE CORREGIDORA
201,1. ANTONIO JOSE DE SUCRE
202,1. DE MAYO
203,1. IGNACIO ALLENDE
204,1. SIMON BOLIVAR
205,10 (TEODOMIRO MANZANO)
206,10 1/2 ORIENTE
207,10 1/2 SUR
208,10 C
209,10 DE ABRIL
210,10 DE ABRIL (ACUEDUCTO MEXICALI-TIJUANA)
211,10 DE ABRIL DE 1859
212,10 DE ABRIL DE 1919
213,10 DE AGOSTO
214,10 DE AGOSTO DE 1860
215,10 DE DICIEMBRE
216,10 DE ENERO
217,10 DE FEBRERO
218,10 DE FEBRERO DE 1950
219,10 DE JULIO
220,10 DE JUNIO
221,10 DE JUNIO DE 1938
222,10 DE MARZO
223,10 DE MAYO
224,10 DE NOVIEMBRE
225,10 DE OCTUBRE
226,10 DE SAN MARTIN
227,10 DE SEPTIEMBRE
228,10 DEL TEMOLUCO
229,10 DOLORES GUERRERO
230,10 ESTE
231,10 FERNANDO AMILPA
232,10 FRANCISCO VILLA
233,10 LUIS YUREN
234,10 NORTE
235,10 ORIENTE
236,10 PONIENTE
237,10 SAN MIGUEL
238,10 SANTA ANA
239,10 SUR
240,10 SUR (AVENIDA COPILCO)
241,10 SUR (AVENIDA PEDRO ENRIQUEZ UREÑA)
242,10 SUR (AVENIDA SAN JERONIMO)
243,10 SUR (CARRETERA A SANTA CATARINA)
244,10 XAMILTEPEC
245,10. MIGUEL HIDALGO
246,10. SIMON BOLIVAR
247,10.5 NORTE
248,10.5 PONIENTE
249,100 FUEGOS
250,100 METROS
251,102 DE CALZADA DE LA VIGA
252,104-B
253,105-A
254,105-B
255,105-D
256,105-E
257,106 DE ORIENTE 160
258,106A
259,108 DE RIO CHURUBUSCO
260,109 DE RIO CHURUBUSCO
261,10A
262,10-A
263,10A SUR
264,10A TULUM
265,10-B
266,10-C
267,11 (PLUTARCO ELIAS CALLES)
268,11 1/2 NORTE
269,11 1/2 ORIENTE
270,11 1/2 SUR
271,11 B
272,11 C
273,11 CAFETALES
274,11 CENTRAL
275,11 DE ABRIL
276,11 DE AGOSTO
277,11 DE AGOSTO DE 1859
278,11 DE DICIEMBRE
279,11 DE ENERO
280,11 DE ENERO DE 1861
281,11 DE FEBRERO
282,11 DE JULIO
283,11 DE JUNIO
284,11 DE JUNIO DE 1935
285,11 DE MARZO
286,11 DE MAYO
