8,883
33.5,6261
0.5,5348
4,5345
3,5340
96,2773
8,5346
76,6196
0.5,5344
226.3,2462
8,2809
0.5,5385
61.5,120
3.5,5341
6,5360
1.4,5359
2,5343
4,5342
68,2762
10,2741
29,6197
32,138
64.7,5314
86,6176
14.15,5499
4.89,5496
26.78,4147
0.25,6839
2,6385
1,6706
1,6752
0.07,6256
1,6645
0.68,6292
2.7,5033
10,6316
19,5316
21,6580
24,6295
104,6783
9.554,4787
4.28,4030
1.6,4455
5.6,3906
88,6951
5,6758
0.1,6396
1.015,6922
4,2256
9,6358
50.75,6945
2.05,4853
4.27,5895
3.5,5277
23.7,6855
17.75,3910
6,6700
1.5,6293
5.55,1703
6.5,3909
22.15,5253
10.9,5320
3,5405
8.95,6114
12.55,6248
4.9,6279
7.75,6345
3.84,6311
5.49,6887
4.86,6317
2.7,4346
5.1,5313
0.6,4936
14.63,5193
1.1,5541
3.05,5319
1,4342
4.525,6175
925,5995
5,6135
0.4,5527
10,5339
1849,6319
1476,6704
2080,5653
180,6852
400,6574
243,5669
600,6851
300,5670
1082,6853
4459,6572
1541,6573
780,5947
780,6705
1040,6353
100,6913
25,6914
100,5679
750,5739
2000,6829
5800,5945
94,5697
25,5052
1000,6588
588,6571
25,5051
100,6912
1000,5682
4900,5977
750,6146
750,6145
20,6946
10,6607
0.05,6109
2,5160
50,5440
45.94,4708
47.75,6381
180,5826
7.7,4432
197.8,5725
7.9,3686
12,6812
360,4647
0.25,5559
0.25,5561
10,4156
1,5560
0.5,5562
33.5,3738
200,6663
200,6586
3737.5,6399
247,5862
17,6322
21.95,4864
4,6375
20,6324
28.39,6374
50,5451
5,5553
12.795,4244
173.75,6356
9.86,4504
20,4375
45,5850
50,6325
4.2,4849
1000,6965
784.75,6698
437,5980
74,2187
201.62,5454
16,5951
14.065,6376
60.949,4192
23.2,4487
4.5,4194
19.44,6229
60,6825
500,6903
49.3,5859
100,5776
40,6788
2.254,4431
34,6776
220,6598
297,6378
25,4767
29,6927
10,6129
284,5996
3000,6830
3000,6973
50,4966
1489,6596
3000,6902
3.983,4503
7.8,4851
56.5,6626
200,6966
42.93,5643
100,5974
300,5984
350,5740
800,6652
19,6938
100,6346
357,6625
180,6939
21.5,6360
343.5,4856
1035,6762
10,5694
24,3360
19.775,4002
14.6,4644
70,5741
200,6267
69.33,5978
500,6816
1,5448
64.3,3565
4,4721
4.384,4646
5,5842
2,6131
2.55,334
25,5177
1.04,5745
50,6144
5.7,4840
550,5166
1000,5775
1000,6463
9,5822
711.75,6682
1000,6924
6.44,1108
5,247
73.165,5676
8.985,6780
44,6781
100,6815
380.85,1128
6.39,1151
10,6593
38.985,6592
50,6723
70,6721
14,1406
9.19,6640
140.93,5505
97,5675
7.904,5668
20,5991
20,6726
60,6923
5.975,5500
8,6320
1620,6619
455.93,5674
1.64,3735
10.9,2601
0.278,5841
79.988,6724
399.73,1112
5,6595
80,6980
